B,S,p,nu,Q,aQB,mAQ
1000,50,2969,1,2969,2000,-100
1000,50,2971,1,2971,2000,-100
1000,50,2999,1,2999,2000,-100
1000,50,3001,1,3001,2000,-100
1000,50,3011,1,3011,2000,-100
1000,50,3019,1,3019,2000,-100
1000,50,3023,1,3023,2000,-100
1000,50,3037,1,3037,2000,-100
1000,50,3041,1,3041,2000,-100
1000,50,3049,1,3049,2000,-100
1000,50,3061,1,3061,2000,-100
1000,50,3067,1,3067,2000,-100
1000,50,3079,1,3079,2000,-100
1000,50,3083,1,3083,2000,-100
1000,50,3089,1,3089,2000,-100
1000,50,3109,1,3109,2000,-100
1000,50,3119,1,3119,2000,-100
1000,50,3121,1,3121,2000,-100
1000,50,3137,1,3137,2000,-100
1000,50,3163,1,3163,2000,-100
1000,50,3167,1,3167,2000,-100
1000,50,3169,1,3169,2000,-100
1000,50,3181,1,3181,2000,-100
1000,50,3187,1,3187,2000,-100
1000,50,3191,1,3191,2000,-100
1000,50,3203,1,3203,2000,-100
1000,50,3209,1,3209,2000,-100
1000,50,3217,1,3217,2000,-100
1000,50,3221,1,3221,2000,-100
1000,50,3229,1,3229,2000,-100
1000,50,3251,1,3251,2000,-100
1000,50,3253,1,3253,2000,-100
1000,50,3257,1,3257,2000,-100
1000,50,3259,1,3259,2000,-100
1000,50,3271,1,3271,2000,-100
1000,50,3299,1,3299,2000,-100
1000,50,3301,1,3301,2000,-100
1000,50,3307,1,3307,2000,-100
1000,50,3313,1,3313,2000,-100
1000,50,3319,1,3319,2000,-100
1000,50,3323,1,3323,2000,-100
1000,50,3329,1,3329,2000,-100
1000,50,3331,1,3331,2000,-100
1000,50,3343,1,3343,2000,-100
1000,50,3347,1,3347,2000,-100
1000,50,3359,1,3359,2000,-100
1000,50,3361,1,3361,2000,-100
1000,50,3371,1,3371,2000,-100
1000,50,3373,1,3373,2000,-100
1000,50,3389,1,3389,2000,-100
1000,50,3391,1,3391,2000,-100
1000,50,3407,1,3407,2000,-100
1000,50,3413,1,3413,2000,-100
1000,50,3433,1,3433,2000,-100
1000,50,3449,1,3449,2000,-100
1000,50,3457,1,3457,2000,-100
1000,50,3461,1,3461,2000,-100
1000,50,3463,1,3463,2000,-100
1000,50,3467,1,3467,2000,-100
1000,50,3469,1,3469,2000,-100
1000,50,3491,1,3491,2000,-100
1000,50,3499,1,3499,2000,-100
1000,50,3511,1,3511,2000,-100
1000,50,3517,1,3517,2000,-100
1000,50,3527,1,3527,2000,-100
1000,50,3529,1,3529,2000,-100
1000,50,3533,1,3533,2000,-100
1000,50,3539,1,3539,2000,-100
1000,50,3541,1,3541,2000,-100
1000,50,3547,1,3547,2000,-100
1000,50,3557,1,3557,2000,-100
1000,50,3559,1,3559,2000,-100
1000,50,3571,1,3571,2000,-100
1000,50,3581,1,3581,2000,-100
1000,50,3583,1,3583,2000,-100
1000,50,3593,1,3593,2000,-100
1000,50,3607,1,3607,2000,-100
1000,50,3613,1,3613,2000,-100
1000,50,3617,1,3617,2000,-100
1000,50,3623,1,3623,2000,-100
1000,50,3631,1,3631,2000,-100
1000,50,3637,1,3637,2000,-100
1000,50,3643,1,3643,2000,-100
1000,50,3659,1,3659,2000,-100
1000,50,3671,1,3671,2000,-100
1000,50,3673,1,3673,2000,-100
1000,50,3677,1,3677,2000,-100
1000,50,3691,1,3691,2000,-100
1000,50,3697,1,3697,2000,-100
1000,50,3701,1,3701,2000,-100
1000,50,3709,1,3709,2000,-100
1000,50,3719,1,3719,2000,-100
1000,50,3727,1,3727,2000,-100
1000,50,3733,1,3733,2000,-100
1000,50,3739,1,3739,2000,-100
1000,50,3761,1,3761,2000,-100
1000,50,3767,1,3767,2000,-100
1000,50,3769,1,3769,2000,-100
1000,50,3779,1,3779,2000,-100
1000,50,3793,1,3793,2000,-100
1000,50,3797,1,3797,2000,-100
1000,50,3803,1,3803,2000,-100
1000,50,3821,1,3821,2000,-100
1000,50,3823,1,3823,2000,-100
1000,50,3833,1,3833,2000,-100
1000,50,3847,1,3847,2000,-100
1000,50,3851,1,3851,2000,-100
1000,50,3853,1,3853,2000,-100
1000,50,3863,1,3863,2000,-100
1000,50,3877,1,3877,2000,-100
1000,50,3881,1,3881,2000,-100
1000,50,3889,1,3889,2000,-100
1000,50,3907,1,3907,2000,-100
1000,50,3911,1,3911,2000,-100
1000,50,3917,1,3917,2000,-100
1000,50,3919,1,3919,2000,-100
1000,50,3923,1,3923,2000,-100
1000,50,3929,1,3929,2000,-100
1000,50,3931,1,3931,2000,-100
1000,50,3943,1,3943,2000,-100
1000,50,3947,1,3947,2000,-100
1000,50,3967,1,3967,2000,-100
1000,50,3989,1,3989,2000,-100
1000,50,4001,1,4001,2000,-100
1000,50,4003,1,4003,2000,-100
1000,50,4007,1,4007,2000,-100
1000,50,4013,1,4013,2000,-94
1000,50,4019,1,4019,2000,-88
1000,50,4021,1,4021,2000,-86
1000,50,4027,1,4027,2000,-80
1000,50,4049,1,4049,2000,-58
1000,50,4051,1,4051,2000,-56
1000,50,4057,1,4057,2000,-50
1000,50,4073,1,4073,2000,-34
1000,50,4079,1,4079,2000,-28
1000,50,4091,1,4091,2000,-16
1000,50,4093,1,4093,2000,-14
1000,50,4099,1,4099,2000,-8
1000,50,4111,1,4111,1996,0
1000,50,4127,1,4127,1980,0
1000,50,4129,1,4129,1978,0
1000,50,4133,1,4133,1974,0
1000,50,4139,1,4139,1968,0
1000,50,4153,1,4153,1954,0
1000,50,4157,1,4157,1950,0
1000,50,4159,1,4159,1948,0
1000,50,4177,1,4177,1930,0
1000,50,4201,1,4201,1906,0
1000,50,4211,1,4211,1896,0
1000,50,4217,1,4217,1890,0
1000,50,4219,1,4219,1888,0
1000,50,4229,1,4229,1878,0
1000,50,4231,1,4231,1876,0
1000,50,4241,1,4241,1866,0
1000,50,4243,1,4243,1864,0
1000,50,4253,1,4253,1854,0
1000,50,4259,1,4259,1848,0
1000,50,4261,1,4261,1846,0
1000,50,4271,1,4271,1836,0
1000,50,4273,1,4273,1834,0
1000,50,4283,1,4283,1824,0
1000,50,4289,1,4289,1818,0
1000,50,4297,1,4297,1810,0
1000,50,4327,1,4327,1780,0
1000,50,4337,1,4337,1770,0
1000,50,4339,1,4339,1768,0
1000,50,4349,1,4349,1758,0
1000,50,4357,1,4357,1750,0
1000,50,4363,1,4363,1744,0
1000,50,4373,1,4373,1734,0
1000,50,4391,1,4391,1716,0
1000,50,4397,1,4397,1710,0
1000,50,4409,1,4409,1698,0
1000,50,4421,1,4421,1686,0
1000,50,4423,1,4423,1684,0
1000,50,4441,1,4441,1666,0
1000,50,4447,1,4447,1660,0
1000,50,4451,1,4451,1656,0
1000,50,4457,1,4457,1650,0
1000,50,4463,1,4463,1644,0
1000,50,4481,1,4481,1626,0
1000,50,4483,1,4483,1624,0
1000,50,4493,1,4493,1614,0
1000,50,4507,1,4507,1600,0
1000,50,4513,1,4513,1594,0
1000,50,4517,1,4517,1590,0
1000,50,4519,1,4519,1588,0
1000,50,4523,1,4523,1584,0
1000,50,4547,1,4547,1560,0
1000,50,4549,1,4549,1558,0
1000,50,4561,1,4561,1546,0
1000,50,4567,1,4567,1540,0
1000,50,4583,1,4583,1524,0
1000,50,4591,1,4591,1516,0
1000,50,4597,1,4597,1510,0
1000,50,4603,1,4603,1504,0
1000,50,4621,1,4621,1486,0
1000,50,4637,1,4637,1470,0
1000,50,4639,1,4639,1468,0
1000,50,4643,1,4643,1464,0
1000,50,4649,1,4649,1458,0
1000,50,4651,1,4651,1456,0
1000,50,4657,1,4657,1450,0
1000,50,4663,1,4663,1444,0
1000,50,4673,1,4673,1434,0
1000,50,4679,1,4679,1428,0
1000,50,4691,1,4691,1416,0
1000,50,4703,1,4703,1404,0
1000,50,4721,1,4721,1386,0
1000,50,4723,1,4723,1384,0
1000,50,4729,1,4729,1378,0
1000,50,4733,1,4733,1374,0
1000,50,4751,1,4751,1356,0
1000,50,4759,1,4759,1348,0
1000,50,4783,1,4783,1324,0
1000,50,4787,1,4787,1320,0
1000,50,4789,1,4789,1318,0
1000,50,4793,1,4793,1314,0
1000,50,4799,1,4799,1308,0
1000,50,4801,1,4801,1306,0
1000,50,4813,1,4813,1294,0
1000,50,4817,1,4817,1290,0
1000,50,4831,1,4831,1276,0
1000,50,4861,1,4861,1246,0
1000,50,4871,1,4871,1236,0
1000,50,4877,1,4877,1230,0
1000,50,4889,1,4889,1218,0
1000,50,4903,1,4903,1204,0
1000,50,4909,1,4909,1198,0
1000,50,4919,1,4919,1188,0
1000,50,4931,1,4931,1176,0
1000,50,4933,1,4933,1174,0
1000,50,4937,1,4937,1170,0
1000,50,4943,1,4943,1164,0
1000,50,4951,1,4951,1156,0
1000,50,4957,1,4957,1150,0
1000,50,4967,1,4967,1140,0
1000,50,4969,1,4969,1138,0
1000,50,4973,1,4973,1134,0
1000,50,4987,1,4987,1120,0
1000,50,4993,1,4993,1114,0
1000,50,4999,1,4999,1108,0
1000,50,5003,1,5003,1104,0
1000,50,5009,1,5009,1098,0
1000,50,5011,1,5011,1096,0
1000,50,5021,1,5021,1086,0
1000,50,5023,1,5023,1084,0
1000,50,5039,1,5039,1068,0
1000,50,5051,1,5051,1056,0
1000,50,5059,1,5059,1048,0
1000,50,5077,1,5077,1030,0
1000,50,5081,1,5081,1026,0
1000,50,5087,1,5087,1020,0
1000,50,5099,1,5099,1008,0
1000,50,5101,1,5101,1006,0
1000,50,5107,1,5107,1000,0
1000,50,5113,1,5113,994,0
1000,50,5119,1,5119,988,0
1000,50,5147,1,5147,960,0
1000,50,5153,1,5153,954,0
1000,50,5167,1,5167,940,0
1000,50,5171,1,5171,936,0
1000,50,5179,1,5179,928,0
1000,50,5189,1,5189,918,0
1000,50,5197,1,5197,910,0
1000,50,5209,1,5209,898,0
1000,50,5227,1,5227,880,0
1000,50,5231,1,5231,876,0
1000,50,5233,1,5233,874,0
1000,50,5237,1,5237,870,0
1000,50,5261,1,5261,846,0
1000,50,5273,1,5273,834,0
1000,50,5279,1,5279,828,0
1000,50,5281,1,5281,826,0
1000,50,5297,1,5297,810,0
1000,50,5303,1,5303,804,0
1000,50,5309,1,5309,798,0
1000,50,5323,1,5323,784,0
1000,50,5333,1,5333,774,0
1000,50,5347,1,5347,760,0
1000,50,5351,1,5351,756,0
1000,50,5381,1,5381,726,0
1000,50,5387,1,5387,720,0
1000,50,5393,1,5393,714,0
1000,50,5399,1,5399,708,0
1000,50,5407,1,5407,700,0
1000,50,5413,1,5413,694,0
1000,50,5417,1,5417,690,0
1000,50,5419,1,5419,688,0
1000,50,5431,1,5431,676,0
1000,50,5437,1,5437,670,0
1000,50,5441,1,5441,666,0
1000,50,5443,1,5443,664,0
1000,50,5449,1,5449,658,0
1000,50,5471,1,5471,636,0
1000,50,5477,1,5477,630,0
1000,50,5479,1,5479,628,0
1000,50,5483,1,5483,624,0
1000,50,5501,1,5501,606,0
1000,50,5503,1,5503,604,0
1000,50,5507,1,5507,600,0
1000,50,5519,1,5519,588,0
1000,50,5521,1,5521,586,0
1000,50,5527,1,5527,580,0
1000,50,5531,1,5531,576,0
1000,50,5557,1,5557,550,0
1000,50,5563,1,5563,544,0
1000,50,5569,1,5569,538,0
1000,50,5573,1,5573,534,0
1000,50,5581,1,5581,526,0
1000,50,5591,1,5591,516,0
1000,50,5623,1,5623,484,0
1000,50,5639,1,5639,468,0
1000,50,5641,1,5641,466,0
